sample,qc_param,qc_flag,plutoF_data,gsheets_data
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF500,event_id,pass,,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF500,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF500,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF100,event_id,pass,,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF100,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF100,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40,event_id,pass,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,event_id,pass,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,event_id,pass,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40,event_id,fail,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,ARMS_BelgiumCoast_AJJCD89_20210225_20210819
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,event_id,fail,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,ARMS_BelgiumCoast_AJJCD89_20210225_20210819
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,event_id,fail,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,ARMS_BelgiumCoast_AJJCD89_20210225_20210819
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,preservative,not present in plutoF sample id,,
