sample,qc_param,qc_flag,plutoF_data,gsheets_data
ARMS_Limfjord_Limfjord3_20201110_20211115_SF40,arms_id,fail,not found,ARMS_Limfjord_Limfjord3_20201110_20211115_SF40
ARMS_Limfjord_Red2_20190618_20191029_MF100,event_id,pass,,
ARMS_Limfjord_Red2_20190618_20191029_MF500,event_id,pass,,
ARMS_Limfjord_Red2_20190618_20191029_SF40,event_id,pass,,
ARMS_Limfjord_Yellow8_20190618_20191029_MF100,event_id,pass,,
ARMS_Limfjord_Yellow8_20190618_20191029_MF500,event_id,pass,,
ARMS_Limfjord_Yellow8_20190618_20191029_SF40,event_id,pass,,
ARMS_Plymouth_MBA1_20180701_20181001_MF100_DMSO,arms_id,fail,not found,ARMS_Plymouth_MBA1_20180701_20181001_MF100_DMSO
ARMS_Plymouth_MBA1_20180701_20181001_MF100_ETOH,arms_id,fail,not found,ARMS_Plymouth_MBA1_20180701_20181001_MF100_ETOH
ARMS_Plymouth_MBA1_20180701_20181001_MF500_DMSO,arms_id,fail,not found,ARMS_Plymouth_MBA1_20180701_20181001_MF500_DMSO
ARMS_Plymouth_MBA1_20180701_20181001_MF500_ETOH,arms_id,fail,not found,ARMS_Plymouth_MBA1_20180701_20181001_MF500_ETOH
ARMS_Plymouth_MBA1_20180701_20181001_SF40_DMSO,arms_id,fail,not found,ARMS_Plymouth_MBA1_20180701_20181001_SF40_DMSO
ARMS_Plymouth_MBA1_20180701_20181001_SF40_ETOH,arms_id,fail,not found,ARMS_Plymouth_MBA1_20180701_20181001_SF40_ETOH
ARMS_Plymouth_MBA1A_20190716_20190916_MF100,arms_id,fail,not found,ARMS_Plymouth_MBA1A_20190716_20190916_MF100
ARMS_Plymouth_MBA1A_20190716_20190916_MF500,arms_id,fail,not found,ARMS_Plymouth_MBA1A_20190716_20190916_MF500
ARMS_Plymouth_MBA1A_20190716_20190916_SF40,arms_id,fail,not found,ARMS_Plymouth_MBA1A_20190716_20190916_SF40
ARMS_Plymouth_MBA1A_20200717_20200921_MF100,arms_id,fail,not found,ARMS_Plymouth_MBA1A_20200717_20200921_MF100
ARMS_Plymouth_MBA1A_20200717_20200921_MF500,arms_id,fail,not found,ARMS_Plymouth_MBA1A_20200717_20200921_MF500
