OTUID,taxonomicClassificationOrig,Domain,Supergroup,Division/Kingdom,Phylum/Class,Level_X,Level_XX,Level_XXX,Level_XXXX,Level_XXXXX,genus_species
Otu1982,Main genome;Eukaryota;Opisthokonta;Metazoa;Nemertea;Nemertea (class);X (Nemertea (class));Nemertea (X (Nemertea (class)));Unknown Nemertea (X (Nemertea (class))) genus 3,Eukaryota,Opisthokonta,Metazoa,Nemertea,NA,NA,NA,NA,NA,NA
Otu1981,Main genome;Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Macrostomorpha;Unknown Macrostomorpha family 2,Eukaryota,Opisthokonta,Metazoa,Platyhelminthes,Turbellaria,Macrostomorpha,NA,NA,NA,NA
Otu1980,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
Otu2298,Main genome;Eukaryota;Opisthokonta;Metazoa;Nematoda;Chromadorea;Chromadorea (order);X (Chromadorea (order));Chromadorea (X (Chromadorea (order)));XX (Chromadorea (X (Chromadorea (order))));Chromadorea (XX (Chromadorea (X (Chromadorea (order)))));XX (Chromadorea (XX (Chromadorea (X (Chromadorea (order))))));sp. (XX (Chromadorea (XX (Chromadorea (X (Chromadorea (order))))))),Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,NA,NA,NA,NA,NA
Otu1408,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Lecudinidae,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Lecudinidae,NA,NA,NA,NA
Otu1409,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Lecudinidae;Lecudinidae (family);X (Lecudinidae (family));Lecudinidae (X (Lecudinidae (family)));X (Lecudinidae (X (Lecudinidae (family))));sp. (X (Lecudinidae (X (Lecudinidae (family))))),Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Lecudinidae,NA,NA,NA,NA
Otu1402,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Malacostraca;Nebalia;Nebalia (genus);Unknown Nebalia (genus) species 1,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Malacostraca,Nebalia,NA,NA,NA
Otu1400,Main genome;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1 (family);X (Dino-Group-II-Clade-1 (family));Dino-Group-II-Clade-1 (X (Dino-Group-II-Clade-1 (family)));X (Dino-Group-II-Clade-1 (X (Dino-Group-II-Clade-1 (family))));sp. (X (Dino-Group-II-Clade-1 (X (Dino-Group-II-Clade-1 (family))))),Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,NA,NA,NA,NA
Otu1401,Main genome;Eukaryota;Opisthokonta;Metazoa,Eukaryota,Opisthokonta,Metazoa,NA,NA,NA,NA,NA,NA,NA
Otu1406,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Gregarinidae;Unknown Gregarinidae family 1,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Gregarinidae,NA,NA,NA,NA
Otu1407,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros (species);elegans (Chaetoceros (species)),Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Polar-centric-Mediophyceae,Chaetoceros,NA,NA,NA,NA
Otu1404,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Oithona;Oithona (genus);Unknown Oithona (genus) species 1,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Oithona,NA,NA,NA
Otu1405,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Polyplicariidae;Unknown Polyplicariidae family 2,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Polyplicariidae,NA,NA,NA,NA
Otu2188,Main genome;Eukaryota;Opisthokonta;Fungi,Eukaryota,Opisthokonta,Fungi,NA,NA,NA,NA,NA,NA,NA
Otu2189,Main genome;Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Labyrinthulida;Labyrinthulaceae;Labyrinthulaceae (family);ANT10;Labyrinthulaceae (ANT10);ANT10 (Labyrinthulaceae (ANT10));sp. (ANT10 (Labyrinthulaceae (ANT10))),Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Labyrinthulida,Labyrinthulaceae,ANT10,NA,NA,NA
