ObservatoryID,UnitID,EventID,Filename,Filetype,PlateNumber,Position,Download URL
Plymouth,MBA1B,ARMS_Plymouth_MBA1B_20190716_20190918,Image log and notes_MBA1B_2019.pdf,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/9E/47/9E471975E02B6A41CCD36E314BD7F1800CCD6C690494DA95F78F176A53BE13F2.pdf
Getxo,G2,ARMS_Getxo_G2_20190624_20191016,ManualObservations_ARMS_Getxo_G2-190624-191016.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/33/D1/33D19EA28CC33FBFD9F2EB1E5FBE86556C5ECC0DB3867A08A6B1F5DBC49675EF.xlsx
SWC,Helsingborg2,ARMS_SWC_Helsingborg2_20200305_20200604,Plattor Helsingborg.pdf,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/8C/A2/8CA2532654BB04A2D4377BFDE3E63E295AB9E3111917A8342C0ECC72E9B32098.pdf
Getxo,G1,ARMS_Getxo_G1_20190624_20191016,ARMS_sample_overview_sheet.docx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/FF/CB/FFCBCF7EC66049F09EA623522A6127FAB6C7A36656AFF3E5101F14B073A77C39.docx
BelgiumCoast,BirkenfelsA,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,ImageDescription_ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_corrected.csv,Text,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/07/37/07376A96AB623993B40E3B5B4732DD0109CE97B232892CDD0EC2A7491702B97F.csv
Vigo,TorallaA,ARMS_Vigo_TorallaA_20200706_20201006,2020-07-06 12.38.24.mov,Video,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/37/4D/374D55879A10EB5667C7D88A4EF06A6CA139A78A8782050688816D34E64F8600.mov
Laeso,Laeso3,ARMS_Laeso_Laeso3_20190819_20200811,ARMS_Lasoe3_190819-200811_VisualObservations.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/76/B8/76B8D6B5C83DE235681565D673E4DAD2F86EA72D323DF146ACD7637342A4191F.xlsx
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,ImageDescription_ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_corrected.csv,Text,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/51/98/51986058F6E6734BD24C32DA3150EED9319CEAA37D2D3672D8DA64B772DAF9B2.csv
Getxo,G2,ARMS_Getxo_G2_20200624_20201103,ManualObservationsARMS_Getxo_G2_2020.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/F8/A3/F8A3ED56F02F8D7AF7BDD76F378A6584393B5FDF760BD408DA837D5D2B5F5DA2.xlsx
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,ImageDescription_ARMS_BelgiumCoast_AJJCD78_20200506_20201012.csv,Text,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/4C/4B/4C4B15CFCDF4DA0DD5F2535B830AE64861A5D8ADFD337AB94A2F8F8A075E93D1.csv
