MaterialSample-ID,AreaReplicateID (ARMS unit area replicates),TechnicalReplicateID (material replicates for sequencing purposes)
ARMS_Plymouth_MBA1C_20200717_20200923_MF500,ARMS_Plymouth_MBA1_20200717_20200921,no replicate
ARMS_Plymouth_MBA1C_20200717_20200923_SF40,ARMS_Plymouth_MBA1_20200717_20200921,no replicate
ARMS_Plymouth_MBA2_20180701_20181001_MF100_DMSO,no replicate,no replicate
ARMS_Plymouth_MBA2_20180701_20181001_MF100_ETOH,no replicate,no replicate
ARMS_Plymouth_MBA2_20180701_20181001_MF500_ETOH,no replicate,no replicate
ARMS_Plymouth_MBA2_20180701_20181001_SF40_DMSO,no replicate,no replicate
ARMS_Plymouth_MBA2_20180701_20181001_SF40_ETOH,no replicate,no replicate
ARMS_RavHarbour_RavH1_20210422_20210722_MF100,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH1_20210422_20210722_MF500,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH1_20210422_20210722_SF40,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH2_20210422_20210722_MF100,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH2_20210422_20210722_MF500,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH2_20210422_20210722_SF40,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH3_20210422_20210722_MF100,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH3_20210422_20210722_MF500,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH3_20210422_20210722_SF40,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavMarina_RavM1_20210422_20210722_MF100,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM1_20210422_20210722_MF500,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM1_20210422_20210722_SF40,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM2_20210422_20210722_MF100,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM2_20210422_20210722_MF500,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM2_20210422_20210722_SF40,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM3_20210422_20210722_MF100,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM3_20210422_20210722_MF500,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM3_20210422_20210722_SF40,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_Roscoff_BasBloS1_20180711_20181025_MF100_DMSO,ARMS_Roscoff_BasBloS_20180711_20181025,no replicate
ARMS_Roscoff_BasBloS1_20180711_20181025_MF500_DMSO,ARMS_Roscoff_BasBloS_20180711_20181025,no replicate
ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_DMSO_A,ARMS_Roscoff_BasBloS_20180711_20181025,no replicate
ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_DMSO_B,ARMS_Roscoff_BasBloS_20180711_20181025,no replicate
ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_ETOH_A,ARMS_Roscoff_BasBloS_20180711_20181025,no replicate
ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_ETOH_B,ARMS_Roscoff_BasBloS_20180711_20181025,no replicate
ARMS_Roscoff_BasBloS1_20190612_20200527_MF100,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS1_20190612_20200527_MF500,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS1_20190612_20200527_SF40,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS2_20190612_20200528_MF100,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS2_20190612_20200528_MF500,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS2_20190612_20200528_SF40,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS3_20190612_20200529_MF100,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS3_20190612_20200529_MF500,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS3_20190612_20200529_SF40,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_MarBloR1_20180709_20181024_MF100_DMSO,ARMS_Roscoff_MarBloR_20180709_20181024,no replicate
ARMS_Roscoff_MarBloR1_20180709_20181024_MF100_ETOH,ARMS_Roscoff_MarBloR_20180709_20181024,no replicate
ARMS_Roscoff_MarBloR1_20180709_20181024_MF500_DMSO,ARMS_Roscoff_MarBloR_20180709_20181024,no replicate
ARMS_Roscoff_MarBloR1_20180709_20181024_MF500_ETOH,ARMS_Roscoff_MarBloR_20180709_20181024,no replicate
ARMS_Roscoff_MarBloR1_20180709_20181024_SF40_DMSO,ARMS_Roscoff_MarBloR_20180709_20181024,no replicate
ARMS_Roscoff_MarBloR1_20180709_20181024_SF40_ETOH,ARMS_Roscoff_MarBloR_20180709_20181024,no replicate
