Station,Country,ARMS_unit,Latitude,Longitude,Depth_min,Depth_max,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
BelgiumCoast,Belgium,AJJC81,51.65335670,2.79178508,38,38,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3,0,0,37,2020-09-25,2023-11-20
BelgiumCoast,Belgium,BirkenfelsA,51.64816667,2.53583333,38.81,38.81,2020-06-17,2021-03-09,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,3,0,0,19,2022-10-06,2022-10-18
BelgiumCoast,Belgium,AJJCD78,51.65374944,2.79602577,38,38,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,2,0,0,37,2020-09-25,2022-11-04
BelgiumCoast,Belgium,AJJCD78,51.65374944,2.79602577,38,38,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,3,0,0,19,2021-09-01,2022-09-29
BelgiumCoast,Belgium,CPowerMooring,51.57953300,2.99608300,,26,2023-03-26,2023-10-23,ARMS_BelgiumCoast_CPowerMooring_20230326_20231023,0,0,0,54,2023-11-13,2023-11-20
BelgiumCoast,Belgium,CPowerTripod2,51.57943300,2.99605000,,26,2023-03-26,2023-10-23,ARMS_BelgiumCoast_CPowerTripod2_20230326_20231023,0,0,0,53,2023-11-13,2023-11-20
BelgiumCoast,Belgium,CoastbustersB,51.11529044,2.57995513,9,9,2021-04-22,2023-02-15,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,5,0,0,18,2023-02-15,2024-02-20
BelgiumCoast,Belgium,CPowerTripod1,51.58000000,2.99610000,,26,2023-03-26,2023-10-23,ARMS_BelgiumCoast_CPowerTripod1_20230326_20231023,0,0,0,53,2023-11-13,2023-11-20
Vigo,Spain,TorallaC,42.22840000,-8.77870000,12,12,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,0,0,0,18,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,42.22840000,-8.77870000,12,12,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,0,0,0,18,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,42.22840000,-8.77870000,12,12,2021-07-01,2021-10-09,ARMS_Vigo_TorallaC_20210701_20211009,0,0,0,0,2024-07-19,2024-07-19
Vigo,Spain,TorallaA,42.22840000,-8.77870000,12,12,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,0,0,0,26,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,42.22840000,-8.77870000,12,12,2018-06-07,2018-09-24,ARMS_Vigo_TorallaA_20180607_20180924,0,0,0,25,2019-11-11,2022-01-24
Vigo,Spain,TorallaA,42.22840000,-8.77870000,12,12,2019-06-25,2019-10-14,ARMS_Vigo_TorallaA_20190625_20191014,0,0,0,21,2019-11-11,2022-01-24
Vigo,Spain,TorallaA,42.22840000,-8.77870000,12,12,2021-07-01,2021-10-09,ARMS_Vigo_TorallaA_20210701_20211009,0,0,0,0,2024-07-19,2024-07-19
Vigo,Spain,TorallaB,42.22840000,-8.77870000,12,12,2020-07-06,2020-10-06,ARMS_Vigo_TorallaB_20200706_20201006,0,0,0,18,2020-07-13,2020-10-12
Vigo,Spain,TorallaB,42.22840000,-8.77870000,12,12,2019-06-25,2019-10-14,ARMS_Vigo_TorallaB_20190625_20191014,0,0,0,18,2019-11-11,2022-01-24
Vigo,Spain,TorallaB,42.22840000,-8.77870000,12,12,2021-07-01,2021-10-09,ARMS_Vigo_TorallaB_20210701_20211009,0,0,0,0,2024-07-19,2024-07-19
Eilat,Israel,NR2,29.50555000,34.92027800,10,10,2018-10-17,2020-05-24,ARMS_Eilat_NR2_20181017_20200524,0,0,0,183,2020-08-04,2022-10-28
Eilat,Israel,NR2,29.50555000,34.92027800,10,10,2020-12-27,2022-01-03,ARMS_Eilat_NR2_20201227_20220103,0,0,0,0,2021-01-05,2024-07-19
Eilat,Israel,NR1,29.50555000,34.92027800,10,10,2018-10-17,2020-02-04,ARMS_Eilat_NR1_20181017_20200204,0,0,0,151,2019-11-11,2022-11-01
Eilat,Israel,NR1,29.50555000,34.92027800,10,10,2020-12-27,2021-12-29,ARMS_Eilat_NR1_20201227_20211229,0,0,0,0,2020-12-16,2024-07-19
Eilat,Israel,Katza2,29.52000000,34.93444400,10,10,2018-10-24,2020-08-03,ARMS_Eilat_Katza2_20181024_20200803,0,0,0,231,2020-08-04,2022-10-28
Eilat,Israel,Katza2,29.52000000,34.93444400,10,10,2021-03-22,2022-03-22,ARMS_Eilat_Katza2_20210322_20220322,0,0,0,0,2024-07-19,2024-07-19
Eilat,Israel,Katza1,29.52000000,34.93444400,10,10,2018-10-24,2020-07-06,ARMS_Eilat_Katza1_20181024_20200706,0,0,0,213,2019-11-11,2020-09-15
Eilat,Israel,Katza1,29.52000000,34.93444400,10,10,2021-03-22,2022-03-13,ARMS_Eilat_Katza1_20210322_20220313,0,0,0,0,2024-07-19,2024-07-19
Eilat,Israel,NR3,29.50555000,34.92027800,10,10,2020-12-27,2022-01-05,ARMS_Eilat_NR3_20201227_20220105,0,0,0,0,2024-07-19,2024-07-19
Eilat,Israel,Katza3,29.52000000,34.93444400,10,10,2021-03-22,2022-03-25,ARMS_Eilat_Katza3_20210322_20220325,0,0,0,0,2024-07-19,2024-07-19
GulfOfPiran,Slovenia,Fornace,45.51880000,13.56730000,9,9,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,0,0,0,154,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,45.51880000,13.56730000,9,9,2018-08-15,2019-02-15,ARMS_GulfOfPiran_Fornace_20180815_20190215,0,0,0,179,2020-03-16,2020-04-14
GulfOfPiran,Slovenia,Fornace,45.51880000,13.56730000,9,9,2019-07-02,2020-01-27,ARMS_GulfOfPiran_Fornace_20190702_20200127,0,0,0,127,2020-03-23,2023-11-13
GulfOfPiran,Slovenia,Fornace,45.51880000,13.56730000,9,9,2019-07-02,2020-06-10,ARMS_GulfOfPiran_Fornace_20190702_20200610,0,0,0,0,2020-03-23,2023-02-01
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2020-10-22,2021-02-23,ARMS_GulfOfPiran_LukaKP_20201022_20210223,0,0,0,0,2021-03-22,2021-03-22
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2020-06-22,2020-10-20,ARMS_GulfOfPiran_LukaKP_20200622_20201020,0,0,0,0,2020-12-16,2021-03-22
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2021-02-23,2021-06-22,ARMS_GulfOfPiran_LukaKP_20210223_20210622,0,0,0,0,2021-03-22,2022-03-04
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2021-06-22,2021-10-27,ARMS_GulfOfPiran_LukaKP_20210622_20211027,0,0,0,0,2022-03-04,2022-03-04
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2021-10-27,2022-02-28,ARMS_GulfOfPiran_LukaKP_20211027_20220228,0,0,0,0,2022-03-04,2022-03-04
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2022-02-28,2022-06-20,ARMS_GulfOfPiran_LukaKP_20220228_20220620,0,0,0,0,2022-03-04,2023-01-31
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2022-06-20,2022-10-10,ARMS_GulfOfPiran_LukaKP_20220620_20221010,0,0,0,0,2023-01-31,2023-01-31
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2022-06-20,2022-10-10,ARMS_GulfOfPiran_LukaKP_20220620_20221010,0,0,0,0,2023-01-31,2023-01-31
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2023-11-13,,ARMS_GulfOfPiran_LukaKP_20231113_00000000,0,0,0,0,2024-05-03,2024-05-03
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2022-10-10,2023-02-15,ARMS_GulfOfPiran_LukaKP_20221010_20230215,0,0,0,0,2024-05-03,2024-05-03
